WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR;H_CON_NBI_POR_NUMBER;NBI
"MULTIPOLYGON (((-58.4817310575209 -34.5614742716362,-58.4806755198009 -34.5609297598816,-58.4797347513053 -34.5604428307099,-58.479019448711 -34.5614552976554,-58.4783731508658 -34.5623699301507,-58.4777239451593 -34.5632886441356,-58.4768257305489 -34.5643009088586,-58.477106914725 -34.5644701227505,-58.4773033668756 -34.5645908547697,-58.477397775432 -34.5645500776883,-58.4780217461242 -34.5642894965063,-58.4787779149945 -34.5639910057856,-58.4788425252037 -34.5639669821124,-58.4790050305586 -34.5639119580826,-58.4790549215309 -34.5639320227197,-58.479541500566 -34.5637703296916,-58.4797216233053 -34.5636959352199,-58.4799101701994 -34.5636044962857,-58.4800681534128 -34.5635072160816,-58.480372632959 -34.5633207727284,-58.4802215607882 -34.5632319458513,-58.4801417182601 -34.5632925808212,-58.4803988575031 -34.5630932952929,-58.4806616908544 -34.5628910245884,-58.4809864635829 -34.5626388785438,-58.4811538707715 -34.5625058786701,-58.4812543005561 -34.5623618075377,-58.4814099673405 -34.5621443147554,-58.4815974353379 -34.5618797216431,-58.4817832290687 -34.561620669106,-58.4818433651027 -34.5615340086608,-58.4817310575209 -34.5614742716362)))";;"915";12_8_4;COMUNA 12;"8";"4";"769";"376";"393";"95,67%";"316";"316";"100,00%";"0";"0,00%";"262";"1";"0.38";"261";"99,62%";"0.38";0.380
"MULTIPOLYGON (((-58.4777239451593 -34.5632886441356,-58.4769124082806 -34.5628788639605,-58.476737706019 -34.5627917676271,-58.4766397434136 -34.5629260805935,-58.4759135402062 -34.563747887939,-58.4768257305489 -34.5643009088586,-58.4777239451593 -34.5632886441356)))";;"916";12_8_5;COMUNA 12;"8";"5";"602";"280";"322";"86,96%";"441";"441";"100,00%";"0";"0,00%";"344";"1";"0.29";"343";"99,71%";"0.29";0.290
"MULTIPOLYGON (((-58.4754916935977 -34.5608306903091,-58.4745747919178 -34.5603416765153,-58.4738181378382 -34.5613367218825,-58.4731211936385 -34.5620650552973,-58.4740164038421 -34.5626004923964,-58.4744183370271 -34.5628414511063,-58.4749995740478 -34.5631938743715,-58.4757802556091 -34.562314810493,-58.4764719475251 -34.5613540577786,-58.4761199093986 -34.5611657082825,-58.4754916935977 -34.5608306903091)))";;"917";12_8_6;COMUNA 12;"8";"6";"836";"376";"460";"81,74%";"416";"416";"100,00%";"0";"0,00%";"352";"2";"0.57";"350";"99,43%";"0.57";0.570
"MULTIPOLYGON (((-58.4749995740478 -34.5631938743715,-58.4744183370271 -34.5628414511063,-58.4740164038421 -34.5626004923964,-58.4731211936385 -34.5620650552973,-58.4721950936296 -34.5630327795169,-58.4731304891063 -34.5635597688161,-58.4741596335774 -34.5641395613747,-58.4750756480446 -34.5646959754082,-58.4759135402062 -34.563747887939,-58.4766397434136 -34.5629260805935,-58.476737706019 -34.5627917676271,-58.4757802556091 -34.562314810493,-58.4749995740478 -34.5631938743715)))";;"918";12_8_7;COMUNA 12;"8";"7";"871";"384";"487";"78,85%";"440";"439";"99,77%";"1";"0,23%";"364";"19";"5.22";"345";"94,78%";"5.22";5.220
"MULTIPOLYGON (((-58.4731304891063 -34.5635597688161,-58.4721950936296 -34.5630327795169,-58.471422873252 -34.5638397038974,-58.4704391899785 -34.5648675621174,-58.4706498207268 -34.5650048785819,-58.471371280699 -34.5654519618385,-58.4724205354858 -34.5660976858342,-58.4733218872469 -34.5650829182172,-58.4741596335774 -34.5641395613747,-58.4731304891063 -34.5635597688161)))";;"919";12_8_8;COMUNA 12;"8";"8";"927";"440";"487";"90,35%";"504";"503";"99,80%";"1";"0,20%";"415";"3";"0.72";"412";"99,28%";"0.72";0.720
"MULTIPOLYGON (((-58.4727418536645 -34.5662938656197,-58.4730021207034 -34.5664475273469,-58.4732627709235 -34.5664967880578,-58.4735404305326 -34.5665482031996,-58.4736315384319 -34.5665709241487,-58.4739916321887 -34.5666618076653,-58.4745962726232 -34.5668128520933,-58.4746656876094 -34.566734627028,-58.4751236336884 -34.5662186431718,-58.4758087531584 -34.5654367061822,-58.4761076362426 -34.565318429081,-58.4762547364682 -34.5652602412612,-58.4765542982767 -34.565135483829,-58.4766624946673 -34.5650918076066,-58.4769771249274 -34.5649740899732,-58.4768786789426 -34.5647811351912,-58.4773033668756 -34.5645908547697,-58.477106914725 -34.5644701227505,-58.4768257305489 -34.5643009088586,-58.4759135402062 -34.563747887939,-58.4750756480446 -34.5646959754082,-58.4741596335774 -34.5641395613747,-58.4733218872469 -34.5650829182172,-58.4724205354858 -34.5660976858342,-58.472460466747 -34.5661281065189,-58.4727418536645 -34.5662938656197)))";;"920";12_8_9;COMUNA 12;"8";"9";"975";"462";"513";"90,06%";"473";"473";"100,00%";"0";"0,00%";"396";"2";"0.51";"394";"99,49%";"0.51";0.510
"MULTIPOLYGON (((-58.4965931254869 -34.5635357199403,-58.4954173292095 -34.5629711565251,-58.4944558586885 -34.5642978775637,-58.4956334542429 -34.5648606889863,-58.496957352831 -34.565493380676,-58.4981097773819 -34.5660440619446,-58.4986794387065 -34.5663163016823,-58.4997128251447 -34.5650410071884,-58.4991397611911 -34.5647626461994,-58.4990528228524 -34.5647207688644,-58.4987870696294 -34.5645926730485,-58.4979910920621 -34.5642089451465,-58.4978605585719 -34.5641460222852,-58.4968228542084 -34.5636460129413,-58.4966764851088 -34.5635757689649,-58.4965931254869 -34.5635357199403)))";;"921";12_9_1;COMUNA 12;"9";"1";"937";"414";"523";"79,16%";"403";"402";"99,75%";"1";"0,25%";"331";"8";"2.42";"323";"97,58%";"2.42";2.420
"MULTIPOLYGON (((-58.4956334542429 -34.5648606889863,-58.4944558586885 -34.5642978775637,-58.4935787667034 -34.5655080150188,-58.4934769125459 -34.5656441734821,-58.4946449925405 -34.5662253777979,-58.4958372978254 -34.5668843846074,-58.496943190096 -34.5674955145527,-58.4974870733217 -34.5677961485344,-58.4980654349429 -34.5670783454134,-58.4986794387065 -34.5663163016823,-58.4981097773819 -34.5660440619446,-58.496957352831 -34.565493380676,-58.4956334542429 -34.5648606889863)))";;"922";12_9_2;COMUNA 12;"9";"2";"1127";"541";"586";"92,32%";"466";"465";"99,79%";"1";"0,22%";"420";"8";"1.9";"412";"98,10%";"1.9";1.900
"MULTIPOLYGON (((-58.4928837471642 -34.5617573890216,-58.4919301398132 -34.5613016148078,-58.4918340782095 -34.5614416440189,-58.490991285271 -34.5626506284525,-58.4919363890799 -34.5631042287377,-58.4920948439654 -34.5631802503985,-58.493323576788 -34.5637567344673,-58.4923561911703 -34.5650872432786,-58.4934769125459 -34.5656441734821,-58.4935787667034 -34.5655080150188,-58.4944558586885 -34.5642978775637,-58.4954173292095 -34.5629711565251,-58.4942888045009 -34.5624292465706,-58.4941295826919 -34.5623527349659,-58.4928837471642 -34.5617573890216)))";;"923";12_9_3;COMUNA 12;"9";"3";"1005";"483";"522";"92,53%";"455";"455";"100,00%";"0";"0,00%";"385";"18";"4.68";"367";"95,32%";"4.68";4.680
"MULTIPOLYGON (((-58.4909878972276 -34.5644613432196,-58.4909073182636 -34.5645829869492,-58.4903563267674 -34.5653056096347,-58.4916170610459 -34.5660471106606,-58.4926857991139 -34.5666757536186,-58.4938208642367 -34.5672798621476,-58.4946449925405 -34.5662253777979,-58.4934769125459 -34.5656441734821,-58.4923561911703 -34.5650872432786,-58.493323576788 -34.5637567344673,-58.4920948439654 -34.5631802503985,-58.4919363890799 -34.5631042287377,-58.4910874506797 -34.5643111726375,-58.4909878972276 -34.5644613432196)))";;"924";12_9_4;COMUNA 12;"9";"4";"1061";"498";"563";"88,45%";"468";"468";"100,00%";"0";"0,00%";"392";"8";"2.04";"384";"97,96%";"2.04";2.040
